reviewDate,timeDelta,sentimentScore,stars
2012-06-23,2351,0.875903498427,5
2012-06-29,2357,0.798097742339,5
2012-06-29,2357,0.718330749399,5
2012-07-05,2363,0.753513006112,5
2012-07-05,2363,0.804045928378,5
2012-07-05,2363,0.743229667212,4
2012-07-07,2365,0.598994331287,4
2012-07-24,2382,0.652190323302,3
2012-07-25,2383,0.686276106161,3
2012-07-28,2386,0.580032844935,4
2012-08-01,2390,0.453218500002,4
2012-08-01,2390,0.277838325516,3
2012-08-04,2393,0.684862198184,5
2012-08-12,2401,0.819455476869,4
2012-08-14,2403,0.269065919727,5
2012-08-16,2405,0.680266150977,4
2012-08-24,2413,0.827625178435,5
2012-09-02,2422,0.638336502724,5
2012-09-05,2425,0.575792587228,5
2012-09-07,2427,0.893159912545,4
2012-09-08,2428,0.739368846369,4
2012-09-09,2429,0.592084196456,4
2012-09-09,2429,0.733908004675,5
2012-09-10,2430,0.886633206789,5
2012-09-13,2433,0.915762677903,4
2012-09-13,2433,0.158975047092,3
2012-09-19,2439,0.445635107167,3
2012-09-22,2442,0.497374592087,5
2012-09-22,2442,0.745217367272,5
2012-09-24,2444,0.752696283843,4
2012-10-01,2451,0.929539514451,5
2012-10-02,2452,0.642990512898,5
2012-10-04,2454,0.859395010076,5
2012-10-08,2458,0.43976228573,5
2012-10-12,2462,0.650147434723,4
